127,4
131,1
133,3
117,2
112,1
11,4
58,1
136,5
129,1
41,2
108,1
20,1
59,5
116,1
70,3
37,2
27,1
45,4
43,4
38,2
31,1
69,1
62,1
26,2
49,3
3,1
5,1
115,1
40,2
51,1
24,1
113,3
139,4
125,1
103,2
124,1
18,1
126,1
60,2
17,1
138,1
42,2
35,1
56,1
6,2
23,3
39,2
8,1
22,1
30,2
102,1
68,1
52,2
118,2
44,1
63,1
13,1
132,2
110,1
9,2
123,2
114,1
34,1
122,2
128,1
121,1
130,2
134,1
101,1
47,2
4,1
67,1
57,2
12,2
10,1
1,1
53,2
55,3
28,1
15,1
135,1
111,1
50,2
21,1
54,1
14,1
106,1
19,1
104,3
65,4
109,4
61,2
25,1
32,1
33,1
16,1
66,4
46,4
119,4
36,2
2,1
48,1
120,1
137,1
107,1
7,2
64,1
140,2
29,4
105,1
