109,15
53,5
68,6
23,5
17,2
133,10
106,11
121,0
66,12
7,2
5,1
38,4
35,2
125,1
108,5
1,1
107,0
28,3
29,4
67,5
58,6
138,0
61,5
51,6
59,6
37,0
118,3
105,0
27,2
47,4
50,4
130,4
63,5
3,4
49,5
25,3
62,7
31,0
26,3
9,3
127,6
122,8
70,9
124,5
4,3
24,3
114,0
140,8
36,5
57,6
139,10
32,6
15,6
10,2
46,6
48,7
13,8
129,10
55,0
123,17
18,2
20,3
126,5
110,8
30,8
128,0
131,9
11,8
60,0
14,5
135,3
101,14
65,12
19,3
40,10
120,10
113,10
54,10
42,5
8,2
117,9
119,15
102,0
112,0
52,7
39,8
22,5
134,5
56,6
64,5
45,5
132,12
44,8
116,0
43,8
33,3
34,3
111,0
104,9
6,5
136,10
2,2
103,0
137,5
16,8
41,7
21,5
69,9
12,10
115,5
