132,6
39,3
51,2
111,4
2,3
37,2
110,4
3,2
121,2
14,2
48,3
53,3
112,2
50,5
70,5
24,3
57,3
105,6
7,3
31,2
12,5
109,10
126,3
40,3
118,8
128,4
28,1
136,5
25,2
125,3
63,2
129,4
1,1
119,7
130,1
55,3
102,5
124,2
20,1
127,5
52,2
35,2
58,3
66,2
62,4
30,3
64,2
43,5
44,4
54,2
11,2
18,1
9,2
107,4
115,4
133,5
134,1
33,2
19,1
26,2
21,1
65,1
69,5
61,4
123,5
103,2
34,1
15,3
122,3
56,2
113,3
5,1
137,4
101,8
106,5
59,3
45,3
17,2
22,1
46,2
131,4
139,4
36,2
47,3
16,3
60,3
6,2
104,3
23,3
140,4
41,2
120,7
10,2
135,1
114,3
27,1
32,1
8,1
108,3
42,2
116,10
68,2
49,3
13,2
117,2
138,5
29,3
38,2
4,1
67,2
